TCCON,OCO2,Time
389.61,415.1198,564
390.1,415.00345,565
389.85,415.22293,566
390.47,414.71982,567
390.19,415.2446,568
389.58,415.44006,569
389.94,414.75717,570
391.38,415.22766,571
389.66,414.74316,572
390.34,415.5904,573
389.36,415.99884,574
389.78,413.60883,575
389.18,414.61566,576
389.29,414.47043,577
389.86,414.78406,578
388.64,415.11224,579
389.65,412.95837,580
390.7,416.1471,581
389.39,415.0237,582
389.62,415.73312,583
389.72,413.70633,584
389.88,411.35043,585
389.34,414.7117,586
390.18,414.4988,587
390.12,415.14304,588
388.81,415.54144,589
389.56,415.04535,590
390.43,413.84775,591
389.78,415.11325,592
390.37,415.7409,593
389.8,415.31995,594
389.88,414.83527,595
390.13,414.7499,596
389.17,415.74823,597
390.4,415.501,598
389.78,415.49243,599
389.89,416.09454,600
388.96,415.51462,601
389.66,415.67838,602
390.09,413.69156,603
389.85,415.19446,604
389.54,414.81873,605
390.11,415.1502,606
390.1,414.68347,607
389.88,415.3704,608
389.14,415.54556,609
389.25,416.18683,610
389.58,414.21423,611
390.72,414.7563,612
388.88,413.26556,613
389.65,414.7382,614
390.91,416.05923,615
389.62,415.09973,616
389.14,416.2721,617
388.38,415.07452,618
390,413.59848,619
389.14,415.22037,620
390.26,414.36252,621
389.57,414.24408,622
389.42,414.992,623
389.42,415.94293,624
389.52,414.97055,625
390.2,414.9037,626
389.83,415.1114,627
390.2,414.47946,628
390.47,414.37405,629
389.52,414.45056,630
388.42,414.8231,631
390.08,415.65613,632
389.22,415.4789,633
389.87,415.17926,634
389.75,414.8658,635
389.82,414.2214,636
389.72,415.29623,637
389.2,413.75345,638
390.04,415.37823,639
388.75,413.99817,640
388.86,414.40195,641
389.85,414.81064,642
390.51,415.12488,643
389.8,413.02338,644
389.72,413.10312,645
389.4,413.45587,646
389.7,415.23538,647
388.92,413.5254,648
389.52,416.6707,649
388.81,414.05222,650
389.98,413.34277,651
389.52,414.10928,652
389.47,411.6988,653
390.54,412.33926,654
390.36,415.2194,655
388.64,415.14844,656
388.19,412.47653,657
390.19,416.13712,658
389.54,413.73502,659
389.14,414.42294,660
388.54,413.41937,661
389.58,415.5672,662
389.6,413.93515,663
389.33,415.39206,664
388.33,412.9584,665
389.04,415.5876,666
388.44,412.10248,667
390.05,413.62198,668
389.55,414.1976,669
389.27,414.67398,670
390.18,415.06998,671
390.3,413.70712,672
388.5,411.79767,673
390.28,413.24966,674
390.85,414.6532,675
391.61,414.81686,676
391.15,414.94608,677
390.02,412.433,678
390.77,413.8084,679
390.58,413.67477,680
391.11,415.06512,681
390.24,413.721,682
391.53,412.8985,683
389.95,413.7368,684
390.4,415.55884,685
390.44,415.7854,686
390.59,414.68988,687
390.56,414.5391,688
389.73,415.42865,689
390.38,415.68222,690
389.48,414.7481,691
390.57,414.31787,692
390.97,415.69772,693
390.16,416.01804,694
389.74,413.75714,695
390.4,413.8258,696
389.59,414.63223,697
390.3,415.0859,698
390.74,414.70956,699
389.96,414.9706,700
391.58,415.5037,701
390.85,413.1919,702
390.27,415.00348,703
390.83,413.9927,704
391.11,412.72824,705
390.02,414.7522,706
390.26,415.995,707
390.37,414.45404,708
390.36,415.79648,709
390.73,413.94742,710
389.77,415.5008,711
390.59,415.8721,712
390.43,414.99564,713
390.1,414.76447,714
390.43,416.06277,715
389.83,414.95804,716
390.28,414.50607,717
390.43,414.54752,718
390.6,414.9628,719
390.41,415.68994,720
391.11,415.95422,721
390.97,414.7499,722
390.67,415.90967,723
389.72,412.03305,724
390.17,414.42105,725
389.9,415.34906,726
391.06,414.7822,727
390.79,414.54504,728
389.98,414.62756,729
389.51,414.07797,730
389.97,415.75418,731
390.27,415.44736,732
390.65,413.41782,733
389.85,415.8982,734
390.27,414.96997,735
391.33,416.02133,736
389.62,416.35138,737
389.33,413.15036,738
390.44,413.1448,739
390.12,415.30432,740
389.43,415.77032,741
390.47,414.81497,742
390.47,415.792,743
390.82,415.7282,744
390.57,415.1622,745
390.82,415.74933,746
390.81,415.2884,747
390.34,416.3461,748
390.48,414.06934,749
390.02,415.54904,750
390.02,414.9645,751
389.04,415.0922,752
389.56,415.6516,753
389.66,415.68707,754
390.73,414.95224,755
390.43,414.5316,756
390.18,414.51004,757
390.85,415.0885,758
390.48,414.7816,759
390.04,414.78793,760
389.88,416.02417,761
391.07,415.186,762
390.08,415.267,763
389.06,415.30188,764
390.11,413.5753,765
390.4,414.25967,766
390.29,415.4853,767
390.15,414.08658,768
389.5,415.06555,769
390.7,415.01666,770
390.76,415.47556,771
391.62,415.38324,772
390.22,415.62433,773
389.98,415.6997,774
390.58,415.19412,775
390.31,415.45435,776
390.45,415.73996,777
390.03,414.3618,778
390.1,415.55502,779
390.67,415.48788,780
389.2,415.15942,781
389.61,415.59238,782
389.7,414.53397,783
389.79,415.6259,784
389.65,414.9996,785
388.68,413.03772,786
389.35,411.86526,787
389.44,414.61066,788
390.85,414.83228,789
390.58,415.91882,790
389.98,414.45834,791
388.83,415.26254,792
388.93,415.32242,793
389.19,414.5769,794
390.17,416.69354,795
389.57,415.13345,796
389.69,415.88507,797
390.19,413.99237,798
389.27,415.17905,799
389.03,413.78656,800
390.46,414.3788,801
389.42,414.11398,802
389.71,416.44397,803
389.49,414.49915,804
388.99,415.01297,805
390.52,415.8607,806
389.67,415.8282,807
389.62,415.33197,808
389.58,416.8032,809
390.41,415.5983,810
390.23,415.60492,811
389.7,416.0651,812
390.21,414.85654,813
390.41,414.87292,814
389.12,415.23737,815
390.32,414.68542,816
389.91,414.28857,817
389.86,415.33716,818
390.16,415.6778,819
390.92,414.1001,820
389.92,413.10037,821
389.96,415.16803,822
390.52,415.12592,823
389.82,413.9244,824
390.13,416.48853,825
389.55,414.87408,826
390.76,415.47116,827
391.4,414.9291,828
390.17,416.66788,829
390.57,415.21295,830
390.34,416.69446,831
390.27,415.9182,832
390.28,415.23053,833
389.71,416.24475,834
389.78,415.23645,835
389.71,414.6227,836
390.05,414.33963,837
390.2,413.81122,838
390.8,414.74597,839
390.66,415.6877,840
390.78,415.50055,841
389.64,415.4354,842
390.65,413.81726,843
